Name;Country;Industry;Year of foundation;Year;Revenue;Net Income;Privacy;Size;CEO Name;Headquarters
TechNova;USA;Software;2010;2023;15000000.0;2500000.0;Private;500-1000 employees;Jane Doe;San Francisco, CA
EcoGen;Germany;Renewable Energy;2005;2023;20000000.0;3200000.0;Public;1000-5000 employees;Hans Müller;Berlin, Germany
MediCore;UK;Healthcare;2012;2022;12000000.0;1800000.0;Private;200-500 employees;Emily Carter;London, UK
AgroLink;Brazil;Agriculture;1998;2023;25000000.0;4000000.0;Public;5000-10000 employees;Carlos Silva;São Paulo, Brazil
Company_00001;USA;Healthcare;2019;2024;15291210.62;3054933.9;Public;50-200 employees;Sofia Müller;Paris, USA
Company_00002;India;Energy;1995;2023;22220661.87;3216578.92;Private;200-500 employees;Raj Tanaka;Toronto, India
Company_00003;Australia;Energy;1974;2022;85259263.21;5818831.53;Public;200-500 employees;Carlos Tanaka;Beijing, Australia
Company_00004;Canada;Software;1982;2021;84969926.52;15814368.52;Public;1000-5000 employees;Sofia Wang;London, Canada
Company_00005;Brazil;Retail;1971;2023;65336282.52;10599620.66;Public;500-1000 employees;Robert Garcia;Mumbai, Brazil
Company_00006;Australia;Retail;1980;2023;55452428.45;3211663.55;Public;1000-5000 employees;Liu Müller;São Paulo, Australia
Company_00007;Brazil;Education;1957;2023;79965400.21;13508446.43;Public;200-500 employees;Jane Wang;London, Brazil
Company_00008;Brazil;Healthcare;1992;2022;13485796.69;3186721.13;Private;1000-5000 employees;Anna Garcia;Mumbai, Brazil
Company_00009;Canada;Healthcare;2013;2021;19616934.84;2533162.15;Private;1000-5000 employees;Robert Tanaka;Paris, Canada
Company_00010;USA;Finance;2002;2022;7264839.31;768622.08;Private;200-500 employees;Liu Johnson;Toronto, USA
Company_00011;India;Software;1972;2024;91408386.77;21299956.48;Private;50-200 employees;Carlos Silva;New York, India
Company_00012;France;Education;1991;2021;96359649.4;18430583.1;Private;50-200 employees;John Kumar;Sydney, France
Company_00013;Germany;Energy;2000;2021;83834813.21;5106815.77;Private;5000-10000 employees;Robert Kumar;Beijing, Germany
